,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zc3h14,450.009683038262,-0.0214395749356771,0.137386123113921,-0.156053424099459,0.875990910666169,0.99976360228866
Troap,4.82896420824006,0.761838345851623,1.24263826304289,0.613081351596306,0.539822550146972,NA
1810013L24Rik,965.429381390387,-0.173130660476494,0.189878886264706,-0.911795217900829,0.361876528216019,0.99150126318362
Srsf7,4969.61635199487,0.082203960344953,0.111647239839753,0.736282961074008,0.461558513414574,0.997781340337504
Anapc15,444.29411170868,0.239778683028593,0.133099964540686,1.80149321493843,0.0716251757800681,0.720113542456168
Nmb,119.472747965287,-0.079542227678121,0.225444422404801,-0.352824109949801,0.724220307592373,0.997781340337504
Tcerg1,826.148768044984,-0.00955298411292689,0.129456948271735,-0.0737927491761569,0.941175296615628,0.99976360228866
Zfp712,62.9662973079027,-0.216476807473574,0.418616811666528,-0.517124017575339,0.605069588646874,0.997781340337504
Fam129c,24.9836821208143,-0.743014698301527,0.445904872812994,-1.66630764453013,0.09565215490866,NA
Atp5g3,2369.98961620152,0.0484680543557129,0.135186081000984,0.358528437223948,0.719947890567868,0.997781340337504
Pifo,36.9256924334434,-0.131032867448324,0.424366882796471,-0.308772603990326,0.757494510336777,0.998922328737281
Vsx1,1.87119842052026,-1.09308846824574,2.01788493589739,-0.541700098355521,0.588025121981986,NA
Fyco1,502.617442405199,-0.0450997127463339,0.155284732387995,-0.290432369317852,0.771485483221179,0.999204715898375
Tlr3,2.60819075414702,3.37206069898401,1.87217887511656,1.80114237149165,0.0716804427734821,NA
Olfr1444,2.07009281978921,-2.84840998906801,1.68855889920503,-1.68688814491993,0.0916248620579384,NA
Trafd1,736.271336237474,-0.0896874046339248,0.126780616263803,-0.707422059278407,0.479304232388978,0.997781340337504
Armc8,726.379942499827,0.0527625923682565,0.132671693061912,0.397692915124212,0.690856560521767,0.997781340337504
Ppil4,2239.12738067681,0.24923245744783,0.0898409130588876,2.77415321107063,0.00553456062599535,0.265125628457737
C530005A16Rik,13.5861138465376,-0.489983036216357,0.645683800181941,-0.758859113513905,0.447936839444621,NA
Katnbl1,511.945197214285,0.111249328028154,0.143756816320626,0.773871673535327,0.439006682236321,0.997781340337504
Spag9,1011.83933056451,-0.263164707834567,0.1699696349769,-1.54830424781658,0.121549062224698,0.806361217010222
Taz,693.972160409684,-0.17547137042377,0.156195999910097,-1.12340502013348,0.261265518699523,0.968780318457743
Gfpt1,272.379493171822,0.202992015359907,0.188495335882206,1.07690736436449,0.281521652738425,0.97589564854923
Abcc5,1054.2282416511,-0.0916710593415179,0.132355089269834,-0.69261454053064,0.488551482790281,0.997781340337504
Kcnmb4,11.5457768109014,0.36884914772392,0.848469059114127,0.43472315668061,0.663763387875632,NA
Gm4013,56.5159666810394,-0.129823249567877,0.2831067679091,-0.458566393614302,0.646545574345134,0.997781340337504
Hpcal1,1684.83079784888,0.0514540138583348,0.135789888690506,0.378923750174134,0.704744486982524,0.997781340337504
Tbc1d31,80.95701286168,-0.362353231134954,0.27313808150607,-1.32663021259048,0.184631036577012,0.889234178601661
Tmem176b,312.348158745518,0.296562518601216,0.164761224321564,1.79995335566586,0.0718680036901738,0.721214142255195
Akap7,10.2159268406374,-1.10433327574485,0.763825090182992,-1.44579340209979,0.148235157253665,NA
